,precision,recall,f1-score,support
0,0.6799479517207341,0.6581541802388708,0.6688735875706214,23025.0
1,0.6687707781004082,0.6902062975027144,0.6793194836282807,23025.0
accuracy,0.6741802388707926,0.6741802388707926,0.6741802388707926,0.6741802388707926
macro avg,0.6743593649105711,0.6741802388707927,0.674096535599451,46050.0
weighted avg,0.6743593649105711,0.6741802388707926,0.674096535599451,46050.0
